"ID","Напомена1","Креирано","Година","Количина","Наслов","Аутори","Рбр","ISBN","Задужење","Издавач","Полица","напомена1","Напомена2","Креирање"
"[858407,1464547669]","  ","2024-10-14A12:44:51.000425+0000","  ","  ","30.Закон о привредним друштвима -2005.год. ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464547673]","  ","2024-10-14A12:44:51.000737+0000","  ","  ","31.Законик о кривичном поступку РЦГ -2007.год. ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464547688]","  ","2024-10-14A12:44:52.000005+0000","  ","  ","32.Закон о поступању према малољетницима у кривичном попступку-2013.год. ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464547705]","  ","2024-10-14A12:44:52.000518+0000","  ","  ","33.Закон о раду РЦГ-2008.год. ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464547708]","  ","2024-10-14A12:44:52.000781+0000","  ","  ","34.Закон о безбједности саобраћаја на путевима -2017.год-4 ком. ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464547808]","  ","2024-10-14A12:44:56.000416+0000","  ","  ","35.Закон о одузимању имовинске користи стечене криминалном дјелатношћу -2017.год. ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464547812]","  ","2024-10-14A12:44:57.000431+0000","  ","  ","36.Закон о државном тужиоцу 2005.год.-4 ком. ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464547822]","  ","2024-10-14A12:44:58.000045+0000","  ","  ","37.Закон о државном тужилаштву и закон о специјлном државном тужилаштву -2015.год.-57 ком. ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464547826]","  ","2024-10-14A12:44:58.000440+0000","  ","  ","38 ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464547836]","  ","2024-10-14A12:44:59.000321+0000","  ","  ","  ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464547858]","  ","2024-10-14A12:45:00.000124+0000","  ","  ","  ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464547863]","  ","2024-10-14A12:45:00.000528+0000","  ","  ","И ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464547868]","  ","2024-10-14A12:45:00.000881+0000","  ","  ","1. Извјештај о раду Врховног државног тужилаштва за 2007.год ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464547873]","  ","2024-10-14A12:45:01.000195+0000","  ","  ","2. Извјештај о раду Врховног државног тужилаштва за 2008.год. ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464547880]","  ","2024-10-14A12:45:01.000685+0000","  ","  ","3. Извјештај о раду Врховног државног тужиоца ЦГ о раду државног тужилаштва за 2009.год. ","  "," ","","  ","  ","  ",""," ",""
