Рбр,Наслов,Аутори,Издавач,Година,Количина,Полица,Задужење,Напомена,ISBN,Напомена2
,А,,,,,,,,,
1,1. Актуелна питања савременог законодавства (Будвански правнички дани) – Савез Удружења правника Србије и Републике Српске - 2006.,,,,,,,,,
,2. Актуелна питања савременог законодавства (Будвански правнички дани) – Савез Удружења правника Србије и Републике Српске - 2007.,,,,,,,,,
,3. Актуелна питања савременог законодавства (Будвански правнички дани) – Савез Удружења правника Србије и Републике Српске - 2008.,,,,,,,,,
,4. Актуелна питања југословенског процесног законодавства – 1996.година,,,,,,,,,
,5. Актуелна судска пракса из облигационих односа – Томислав Крсмановић – 2000.,,,,,,,,,
,6. Адресар институција и организација које се баве проблемом трговине људима у Црној Гори – 2007.,,,,,,,,,
,"7. Адресар адвоката, судских вјештака и тумача – ИНГ-ПРО - 2010. – 2 ком.",,,,,,,,,
,"8. Адресар адвоката, судских вјештака и тумача – ИНГ-ПРО - 2011. – 2 ком.",,,,,,,,,
,,,,,,,,,,
,Б,,,,,,,,,
,1. Билтен Врховног суда 2008.,,,,,,,,,
,2. Билтен Врховног суда 2009. – 2 ком.,,,,,,,,,
,3. Билтен Врховног суда 2010.,,,,,,,,,
,4. Билтен Врховног суда 2013.,,,,,,,,,
,5. Билтен Врховног суда 2014. – књига 1,,,,,,,,,
,6. Билтен Врховног суда 2014. – књига 2,,,,,,,,,
,7. Билтен Врховног суда 2015. – 2 ком.,,,,,,,,,
,8. Билтен Врховног суда 2016.,,,,,,,,,
,9. Билтен Врховног суда 2017. – 7 ком.,,,,,,,,,
,36. Људска права у Европи (правни билтен) – бр.93/2007 – 1 ком.,,,,,,,,,
,37.Људска права у Европи (правни билтен) – бр.114/2009 – 1 ком.,,,,,,,,,
,38. Људска права у Европи (правни билтен) – бр.115/2009 – 1 ком.,,,,,,,,,
,39. Људска права у Европи (правни билтен) – бр.121/2010 – 2 ком.,,,,,,,,,
,40. Људска права у Европи (правни билтен) – бр.122/2010 – 3 ком.,,,,,,,,,
,41. Људска права у Европи (правни билтен) – бр.123/2010 – 2 ком.,,,,,,,,,
,42. Људска права у Европи (правни билтен) – бр.124/2010 – 2 ком.,,,,,,,,,
,43. Људска права у Европи (правни билтен) – бр.125/2010 – 1 ком.,,,,,,,,,
,44. Људска права у Европи (правни билтен) – бр.131/2010 – 2 ком.,,,,,,,,,
,45. Људска права у Европи (правни билтен) – бр.132/2010 – 2 ком.,,,,,,,,,
,46. Људска права између Европске конвенције и Устава ЦГ – мр Марина Јовићевић – 2 ком.,,,,,,,,,
,,,,,,,,,,
,М,,,,,,,,,
,"1. Међународни уговори – Књига 3, том 2 – Ратно право и безбједност – 1999.",,,,,,,,,
,"2. Међународни уговори – Књига 3, том 3 - Ратно право и безбједност - 2003.- 2 ком.",,,,,,,,,
,"3. Међународни уговори – Књига 6, том 2 – Саобраћај и комуникације – 2000.",,,,,,,,,
,"4. Међународни уговори – Књига 4, том 3 – Људске слободе и права - 2003.",,,,,,,,,
,"5. Међународни уговори – Књига 5, том 1 – Трговина и облигације - 2004.",,,,,,,,,
,6. Мониторинг људских права у Црној Гори – 2009.,,,,,,,,,
,7. Мониторинг правосудног система Црне Горе – 2012.,,,,,,,,,
,8. Међународно кривично право – проф.др. Драго Радуловић,,,,,,,,,
,"9. Међународно кривично право – Проф.др.Боро Чејовић, проф.др.Бранко Вучковић, проф.др. Весна Вучковић – 2011. – 4 ком.",,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Н,,,,,,,,,
,1. Национални програм за интеграцију Црне Горе у ЕУ за период 2008-2012,,,,,,,,,
,2. Ново кривично законодавство у Црној Гори – март 2005.,,,,,,,,,
,3. Национална конвенција о европској интеграцији Црне Горе – 2013/2014,,,,,,,,,
,,,,,,,,,,
,Њ,,,,,,,,,
,,,,,,,,,,
,О,,,,,,,,,
,1. Одабране пресуде Европског суда за људска права – 2009.,,,,,,,,,
,2. Одабране пресуде Европског суда за људска права – 2011.,,,,,,,,,
,3. Одабране пресуде Европског суда за људска права – 2012.,,,,,,,,,
,4. Органи унутрашњих послова у обезбјеђивању доказа за кривични поступак – мр Велимир Ракочевић,,,,,,,,,
,5. Одлуке Управног суда - 2005. – 2 ком.,,,,,,,,,
,6. Одлуке Управног суда - 2006. – 2 ком.,,,,,,,,,
,,,,,,,,,,
,П,,,,,,,,,
,1. Приручник за примјену законика о кривичном поступку ЦГ,,,,,,,,,
,2. Правилник о унутрашњем пословању државног тужиоца – 2007.,,,,,,,,,
,"3. Процес суочавања са прошлошћу у Црној Гори, случај Морињ – 2014.",,,,,,,,,
,4. Пререгистрација и усклађивање општих аката предузећа – 1997.,,,,,,,,,
,"5. Правни зборник, библиографија",,,,,,,,,
,6. Правни зборник 1-2 1999/2000,,,,,,,,,
,7. Правни зборник 1-2/2003,,,,,,,,,
,8. Правни зборник 1-2/2006-2007 – 2 ком.,,,,,,,,,
,9. Правни зборник 1-2/2008,,,,,,,,,
,10.Правни зборник 2/2009,,,,,,,,,
,11. Правни зборник 1-2/2010,,,,,,,,,
,12.Правни зборник 3-4/2010,,,,,,,,,
,13. Правни зборник 1/2011 – 3 ком.,,,,,,,,,
,14. Правни зборник 1-2/2012,,,,,,,,,
,15. Правни зборник 3-4/2015 – 3 ком.,,,,,,,,,
,16. Правни зборник 1/2016 – 4 ком.,,,,,,,,,
,17. Правни зборник 2/2016 – 2 ком.,,,,,,,,,
,18. Правни зборник 1/2017 – 2 ком.,,,,,,,,,
,19. Правни зборник 1/2018,,,,,,,,,
,"20. Правни живот, часопис за правну теорију и праксу 9-10/1994",,,,,,,,,
,"21. Правни живот, часопис за правну теорију и праксу 11-12/1994",,,,,,,,,
,"22. Правни живот, часопис за правну теорију и праксу 10/1996",,,,,,,,,
,"23.Правни живот, часопис за правну теорију и праксу 11/1996",,,,,,,,,
,"24. Правни живот, часопис за правну теорију и праксу 10/1997",,,,,,,,,
,"25. Правни живот, часопис за правну теорију и праксу 12/1998",,,,,,,,,
,"26. Правни живот, часопис за правну теорију и праксу 3-4/2003",,,,,,,,,
,"27. Правни живот, часопис за правну теорију и праксу 5-6/2003",,,,,,,,,
,"28. Правни живот, часопис за правну теорију и праксу 10/2003",,,,,,,,,
,"29. Правни живот, часопис за правну теорију и праксу 1-2/2004 – 2 ком.",,,,,,,,,
